1,3,141,422,1319000,753,1752,1925,'San Francisco'
2,2,10,67,1849000,1629,1135,2009,'New York'
2,2,10,33,6525000,3233,2018,2016,'New York'
2,3,55,299,1389000,898,1546,1908,'San Francisco'
2,2,72,320,649000,492,1320,1924,'San Francisco'
2,2,17,204,1995000,1911,1044,1996,'New York'
2,2,12,36,1675000,1367,1225,2006,'New York'
2,2,7,289,779000,964,808,2007,'San Francisco'
2,3,55,300,1389000,898,1546,1908,'San Francisco'
2,3,112,441,1495000,914,1635,1937,'San Francisco'
1,0,10,138,850000,1557,546,1924,'New York'
2,3,49,384,1080000,553,1954,1914,'San Francisco'
2.5,4,75,378,2549000,928,2746,1907,'San Francisco'
3,3,91,358,1100000,418,2633,1925,'San Francisco'
1,1,56,433,599000,881,680,1961,'San Francisco'
1,1,14,88,399000,840,475,1910,'New York'
2.5,2,76,468,3495000,1776,1968,1900,'San Francisco'
2,3,73,377,2395000,1031,2323,1929,'San Francisco'
1,1,8,188,935000,848,1102,1910,'New York'
1,1,32,164,650000,903,720,1907,'New York'
2,2,5,53,3500000,1855,1887,1910,'New York'
3,3,23,240,1245000,828,1503,1907,'San Francisco'
5.5,5,73,376,3495000,811,4310,1921,'San Francisco'
2,2,10,31,2200000,1073,2050,1920,'New York'
1,1,8,250,949000,1152,824,2010,'San Francisco'
1,0,10,148,545000,1408,387,1900,'New York'
2,2,19,75,799000,940,850,1928,'New York'
2,3,67,375,1099000,754,1457,1905,'San Francisco'
1,0,11,174,325000,867,375,1910,'New York'
3,4,61,434,1895000,928,2041,2001,'San Francisco'
1,1,10,42,1285000,1716,749,2012,'New York'
2,2,23,144,4250000,2826,1504,2011,'New York'
1,1,5,57,1750000,1750,1000,1963,'New York'
1,1,6,25,1195000,1093,1093,1900,'New York'
1,1,10,84,1760000,1853,950,1969,'New York'
1,1,25,159,649000,811,800,1929,'New York'
1,1,23,143,1200000,2000,600,1969,'New York'
1,1,10,149,535000,1189,450,1900,'New York'
2,2,54,432,1895000,1079,1756,1907,'San Francisco'
2,2,8,30,3159990,2225,1420,2012,'New York'
2,3,216,427,995000,762,1305,1956,'San Francisco'
2,2,24,225,849000,824,1030,1982,'San Francisco'
5,4,10,22,13750000,3717,3699,2016,'New York'
2,2,10,182,904000,601,1503,1920,'New York'
1,1,163,490,649000,764,850,1983,'San Francisco'
2.5,3,5,404,899000,646,1391,2015,'San Francisco'
2,2,53,269,879000,925,950,1912,'San Francisco'
2,2,18,71,2650000,2137,1240,2014,'New York'
2,2,14,175,1599000,1142,1400,1973,'New York'
1,1,70,347,725000,894,811,1900,'San Francisco'
2,2,2,18,2498000,1983,1260,2005,'New York'
1,0,13,124,349000,873,400,1960,'New York'
2,3,106,489,1650000,1113,1483,1922,'San Francisco'
2,2,50,401,2000000,1318,1518,1925,'San Francisco'
2,2,10,114,4240000,2435,1741,2016,'New York'
1,0,10,5,439000,878,500,1930,'New York'
3,3,3,47,6350000,2540,2500,2015,'New York'
1,1,12,235,699000,925,756,2008,'San Francisco'
2,2,56,281,1200000,922,1302,1909,'San Francisco'
1,2,123,461,599000,478,1254,1941,'San Francisco'
1,1,27,153,535000,1189,450,1900,'New York'
1.5,1,9,290,378551,379,1000,2000,'San Francisco'
2,3,42,354,848000,565,1500,1940,'San Francisco'
5,4,20,108,17750000,3966,4476,2012,'New York'
2,2,15,129,4240000,2435,1741,2016,'New York'
3,4,102,381,1698000,949,1789,1890,'San Francisco'
1,1,35,180,499999,747,669,2011,'New York'
3,3,3,48,6550000,2620,2500,2015,'New York'
1,2,41,353,699000,703,995,1944,'San Francisco'
2,1,6,230,1088000,1002,1086,1998,'San Francisco'
4,4,75,348,2650000,694,3816,1900,'San Francisco'
1,0.5,10,208,384900,713,540,1962,'New York'
1,2,39,185,545000,520,1049,1939,'New York'
3,3,10,118,10225000,3400,3007,2016,'New York'
1,0,23,141,485000,1565,310,1902,'New York'
2,2,31,413,767000,556,1380,1916,'San Francisco'
2.5,3,139,329,879000,416,2111,1981,'San Francisco'
3.5,4,62,402,9895000,1643,6024,2008,'San Francisco'
1,2,73,186,365000,521,700,1925,'New York'
1,1,9,3,629000,1258,500,1903,'New York'
2,2,10,16,2000000,1667,1200,1928,'New York'
3,4,163,447,1388000,610,2275,1968,'San Francisco'
1,1,5,51,1849000,1321,1400,1920,'New York'
2,3,3,248,1995000,1465,1362,2006,'San Francisco'
2,2,1,474,1698000,1048,1620,2008,'San Francisco'
3,3,15,131,4875000,2417,2017,2016,'New York'
2,2,10,32,4895000,3220,1520,2016,'New York'
1,1,20,293,670000,1321,507,2014,'San Francisco'
7,7,10,139,19500000,4601,4238,1994,'New York'
2,3,34,308,688000,477,1441,1942,'San Francisco'
2,1,7,56,1950000,1500,1300,1900,'New York'
